Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2023-07-21 07:19:22,false,"Salt Lake County Hiking","5.85","775","01:54:10","110","168","3.2","86","242","19:31","6:24","1,207","1,283","0.96","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","64.4","0:00","No","01:54:09.70","1","80.6","01:42:38","01:58:28","7,731","8,891"
Walking,2023-07-20 07:35:55,false,"Salt Lake City Walking","1.57","208","00:44:04","93","123","0.3","59","159","28:09","4:04","121","135","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","19:50.58","2","86.0","00:33:12","00:44:04","4,347","4,446"
Rock Climbing,2023-07-20 06:56:50,false,"Boulder","0.00","29","00:10:18","78","97","0.1","--","--","--","--","72","56","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","00:07.11","10","78.8","00:00:00","00:10:18","4,404","4,434"
Strength Training,2023-07-20 06:10:47,false,"Strength","0.00","215","00:42:05","98","146","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","64","7","0:00","77.0","0:00","No","42:05.26","1","80.6","00:16:49","00:42:05","--","--"
Cycling,2023-07-19 12:07:26,false,"Salt Lake City Cycling","2.39","54","00:08:16.5","110","132","0.5","--","--","17.3","26.6","13","289","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","84.2","0:00","No","08:16.53","1","89.6","00:08:06","00:08:16.5","4,465","4,755"
Cycling,2023-07-19 05:52:53,false,"Salt Lake City Cycling","2.85","145","00:16:13","127","154","2.1","--","--","10.5","14.7","240","10","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","75.2","0:00","No","16:13.09","1","84.2","00:16:00","00:16:13","4,414","4,667"
Walking,2023-07-18 20:53:42,false,"Salt Lake City Walking","1.08","124","00:25:46","103","122","0.3","73","210","23:52","15:08","56","72","0.93","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","84.2","0:00","No","01:50.40","2","86.0","00:24:33","00:25:46","4,367","4,436"
Walking,2023-07-18 07:33:26,false,"Salt Lake City Walking","2.37","278","01:00:45","88","127","0.3","73","201","25:39","9:18","226","236","0.87","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","80.6","0:00","No","08:38.72","3","87.8","00:52:20","01:19:27","4,369","4,469"
Rock Climbing,2023-07-18 06:21:15,false,"Boulder","0.00","32","00:13:15","74","103","0.1","--","--","--","--","69","56","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","00:20.93","10","78.8","00:00:00","00:13:15","4,404","4,437"
Strength Training,2023-07-18 05:44:04,false,"Strength","0.00","154","00:33:39","95","141","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","115","16","0:00","78.8","0:00","No","33:38.65","1","82.4","00:16:24","00:33:39","--","--"
Walking,2023-07-17 20:26:55,false,"Salt Lake City Walking","1.11","134","00:27:43","95","125","0.3","83","121","24:56","8:49","157","157","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","86.0","0:00","No","02:25.35","2","89.6","00:26:16","00:27:43","4,392","4,448"
Cycling,2023-07-17 08:02:55,false,"Salt Lake City Cycling","3.03","122","00:14:34","123","149","1.9","--","--","12.5","16.3","217","95","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","14:34.16","1","82.4","00:14:02","00:14:34","4,268","4,393"
Strength Training,2023-07-17 06:59:51,false,"Strength","0.00","228","00:57:30","90","154","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","137","16","0:00","78.8","0:00","No","57:29.63","1","80.6","00:23:17","00:57:30","--","--"
Cycling,2023-07-17 06:41:23,false,"Salt Lake City Cycling","3.05","82","00:12:41","108","130","0.6","--","--","14.4","21.7","26","203","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","12:41.16","1","84.2","00:11:28","00:12:41","4,225","4,420"
Hiking,2023-07-16 08:05:07,false,"Salt Lake City Hiking","2.23","225","00:44:21","99","115","0.3","90","248","19:54","9:01","413","476","0.90","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","77.0","0:00","No","44:20.94","1","87.8","00:43:28","00:47:37","4,638","5,033"
Walking,2023-07-15 15:48:59,false,"Salt Lake City Walking","2.86","400","01:20:24","92","132","0.5","54","224","28:05","6:36","545","640","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","80.6","0:00","No","22:06.75","3","96.8","00:57:29","01:31:26","4,380","4,492"
Walking,2023-07-15 10:56:31,false,"Salt Lake City Walking","1.98","216","00:42:00","88","106","0.3","79","201","21:14","5:21","226","276","0.98","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","80.6","0:00","No","20:24.63","2","93.2","00:39:21","01:18:47","4,411","4,573"
Walking,2023-07-14 16:32:11,false,"Salt Lake City Walking","1.10","111","00:22:20","87","114","0.3","85","144","20:21","10:39","128","112","0.93","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","75.2","0:00","No","01:52.68","2","95.0","00:20:46","00:22:24","4,398","4,438"
Walking,2023-07-14 07:36:08,false,"Salt Lake City Walking","1.32","143","00:30:12","81","102","0.3","84","124","22:48","15:12","82","75","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","78.8","0:00","No","06:44.41","2","82.4","00:28:10","00:41:44","4,360","4,416"
Walking,2023-07-13 16:04:13,false,"Salt Lake City Walking","0.93","92","00:17:25","87","100","0.3","100","137","18:49","12:17","95","148","0.86","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","86.0","0:00","No","17:24.80","1","93.2","00:17:14","00:17:25","4,357","4,453"
