Join Date,Name,Completed
"May 25, 2019, 12:47:12 AM",June Run Climbing Challenge,true
"Jun 27, 2019, 1:34:29 AM",Race to the Moon,true
"Jun 29, 2019, 9:28:56 PM",July Run Climbing Challenge,true
"Jun 29, 2019, 9:32:47 PM",July 10K,true
"Jun 29, 2019, 9:32:54 PM",July Cycling Distance Challenge,false
"Jun 29, 2019, 9:32:58 PM",July Running Distance Challenge,false
"Jun 29, 2019, 9:33:04 PM",July Half Marathon,false
"Jun 29, 2019, 9:33:30 PM",Trek Century Challenge,false
"Jun 29, 2019, 9:38:04 PM",June Running Distance Challenge,false
"Jul 26, 2019, 3:03:04 AM",August 10K,true
"Jul 26, 2019, 3:03:05 AM",August Half Marathon,false
"Aug 20, 2019, 5:55:05 PM",August Running Distance Challenge,false
"Aug 20, 2019, 5:55:19 PM",The Escape Plan,false
"Aug 22, 2019, 12:43:06 PM",The ROKA Dirty 30,true
"Aug 26, 2019, 7:04:19 PM",September 5K,true
"Aug 26, 2019, 7:04:20 PM",September 10K,true
"Aug 26, 2019, 7:04:22 PM",September Run Climbing Challenge,true
"Aug 26, 2019, 7:04:34 PM",September Running Distance Challenge,false
"Aug 26, 2019, 7:04:36 PM",September Half Marathon,true
"Sep 25, 2019, 11:28:50 AM",October 10K,true
"Sep 25, 2019, 11:28:52 AM",October 5K,true
"Sep 26, 2019, 6:03:05 PM",October Run Climbing Challenge,true
"Oct 13, 2019, 10:05:34 PM",October Half Marathon,true
"Oct 13, 2019, 10:05:36 PM",October Running Distance Challenge,false
"Oct 26, 2019, 2:37:34 PM",November 10K,true
"Oct 26, 2019, 2:37:35 PM",November Half Marathon,false
"Oct 26, 2019, 2:37:38 PM",November Running Distance Challenge,false
"Oct 26, 2019, 2:37:39 PM",November Run Climbing Challenge,true
"Oct 26, 2019, 4:37:07 PM",November 5K,true
"Nov 26, 2019, 1:30:38 AM",December 10K,true
"Nov 26, 2019, 1:30:38 AM",December 5K,true
"Nov 26, 2019, 1:30:40 AM",December Half Marathon,true
"Nov 26, 2019, 1:30:41 AM",December Run Climbing Challenge,true
"Dec 1, 2019, 3:08:49 PM",December Running Distance Challenge,false
"Dec 28, 2019, 4:49:47 PM",January Half Marathon,false
"Dec 28, 2019, 4:49:48 PM",January Run Climbing Challenge,true
"Dec 28, 2019, 4:49:55 PM",January 10K,true
"Dec 28, 2019, 4:49:55 PM",January 5K,true
"Dec 28, 2019, 4:49:57 PM",January Running Distance Challenge,false
"Jan 25, 2020, 4:56:43 PM",February Run Climbing Challenge,true
"Jan 26, 2020, 10:08:23 PM",February Running Distance Challenge,false
"Feb 4, 2020, 6:23:31 PM",February 5K,true
"Feb 4, 2020, 6:23:32 PM",February Cycling Climbing Challenge,false
"Feb 4, 2020, 6:23:33 PM",February 10K,true
"Feb 4, 2020, 7:57:03 PM",February Half Marathon,false
"Feb 26, 2020, 4:48:33 AM",March Running Distance Challenge,false
"Feb 26, 2020, 4:48:33 AM",March Half Marathon,false
"Feb 26, 2020, 4:48:35 AM",March Run Climbing Challenge,true
"Feb 26, 2020, 4:48:36 AM",March 10K,true
"Feb 26, 2020, 4:48:37 AM",March 5K,true
"Mar 11, 2020, 10:01:08 PM","SALOMON More Sun, More Run Challenge",true
"Mar 12, 2020, 9:55:17 PM",Crush It 4 Climate,true
"Mar 27, 2020, 7:57:38 PM",April Running Distance Challenge,true
"Mar 28, 2020, 6:22:01 PM",April Run Climbing Challenge,true
"Mar 28, 2020, 6:22:06 PM",April 5K,true
"Mar 28, 2020, 6:22:11 PM",April 10K,true
"Mar 28, 2020, 6:22:26 PM",April Workout Challenge,false
"Mar 28, 2020, 6:22:36 PM",March Recovery Challenge,false
"Mar 28, 2020, 6:23:13 PM",New Balance 4x4 Challenge,true
"Mar 28, 2020, 6:23:59 PM",March Long Day Challenge,false
"Mar 28, 2020, 6:24:17 PM",April Half Marathon,true
"Mar 28, 2020, 6:24:47 PM",Smartwool Ultra Run Challenge,true
"Mar 28, 2020, 6:24:53 PM",The ROKA Feel Good 15,true
"Mar 31, 2020, 12:50:45 PM",April Marathon Challenge,false
"Apr 10, 2020, 6:52:10 PM",April Walk Challenge,false
"Apr 17, 2020, 12:35:36 AM",Red Bull Home Trainer,true
"Apr 24, 2020, 5:18:38 PM",Honey Stinger 50 Plus,true
"Apr 28, 2020, 4:34:03 PM",Sufferfest Beer Challenge,true
"Apr 30, 2020, 5:27:03 PM",May Run Climbing Challenge,true
"May 2, 2020, 1:49:45 AM",May Cycling Climbing Challenge,false
"May 3, 2020, 3:08:03 AM",May Running Distance Challenge,false
"May 3, 2020, 3:08:03 AM",May Gran Fondo,true
"May 5, 2020, 7:11:51 PM",ROKA Together 20,true
"May 11, 2020, 3:14:17 PM",May 5K,true
"May 11, 2020, 3:14:38 PM",May 10K,true
"May 14, 2020, 6:15:13 PM",May Cycling Distance Challenge,false
"May 14, 2020, 6:22:55 PM",May Half Marathon,false
"May 17, 2020, 8:25:33 PM",Alaska Airlines Miles on the Ground,true
"May 18, 2020, 3:19:41 PM",Nuun Podium Series Challenge,true
"May 18, 2020, 3:20:01 PM",everve - ultimate miles reward,false
"May 20, 2020, 2:58:23 PM",ROKA Breakthrough 30,true
"May 25, 2020, 11:37:05 PM",June 10K,true
"May 25, 2020, 11:37:11 PM",June Half Marathon,false
"May 25, 2020, 11:37:16 PM",June Run Climbing Challenge,true
"May 25, 2020, 11:37:16 PM",June 5K,true
"May 25, 2020, 11:37:18 PM",June Cycling Climbing Challenge,false
"May 25, 2020, 11:37:21 PM",June Cycling Challenge,false
"May 25, 2020, 11:37:24 PM",June Cycling Distance Challenge,false
"May 26, 2020, 9:17:20 PM",June Running Distance Challenge,false
"Jun 8, 2020, 11:27:53 PM",CLIF® Builders® Challenge,true
"Jun 15, 2020, 8:41:24 PM",HOKA Ekiden Strava Challenge,false
"Jun 18, 2020, 7:40:48 PM",Picky Bars Summer Solstice Century,true
"Jun 23, 2020, 1:51:40 AM","You, But Faster, with Saucony",true
"Jun 23, 2020, 1:51:41 AM",Summer of Skratch,true
"Jun 23, 2020, 1:51:46 AM",ROKA Forward Together 200,true
"Jun 26, 2020, 4:57:55 PM",July Running Endurance Challenge,false
"Jun 26, 2020, 4:57:58 PM",July 10K,true
"Jun 26, 2020, 4:57:59 PM",July Running Challenge,false
"Jun 26, 2020, 4:58:00 PM",July Half Marathon,true
"Jun 26, 2020, 4:58:02 PM",July 5K,true
"Jun 26, 2020, 4:58:03 PM",July Run Climbing Challenge,true
"Jun 26, 2020, 4:58:04 PM",July Running Distance Challenge,false
"Jun 28, 2020, 6:33:10 PM",Red Bull Race The Moon,true
"Jul 29, 2020, 12:50:24 PM",August Running Challenge,true
"Jul 29, 2020, 12:50:39 PM",August Running Endurance Challenge,false
"Jul 29, 2020, 12:50:57 PM",August Half Marathon,false
"Jul 29, 2020, 12:51:06 PM",August Running Distance Challenge,false
"Jul 29, 2020, 12:51:16 PM",August Run Climbing Challenge,true
"Jul 29, 2020, 12:54:58 PM",August 10K,true
"Jul 29, 2020, 12:54:58 PM",August 5K,true
"Aug 26, 2020, 10:58:14 PM",September Running Challenge,true
"Aug 26, 2020, 10:58:16 PM",September Running Endurance Challenge,false
"Aug 26, 2020, 10:58:49 PM",September 5K,true
"Aug 26, 2020, 10:58:51 PM",September Run Climbing Challenge,true
"Aug 26, 2020, 10:58:52 PM",September 10K,true
"Aug 26, 2020, 10:58:54 PM",September Half Marathon,true
"Aug 26, 2020, 10:59:05 PM",September Running Distance Challenge,false
"Aug 30, 2020, 12:47:18 AM",Breitling Endurance Pro Challenge,true
"Sep 25, 2020, 9:26:32 PM",October Run Climbing Challenge,true
"Sep 25, 2020, 9:27:12 PM",October Running Challenge,false
"Sep 27, 2020, 5:08:08 PM",October Running Distance Challenge,false
"Sep 27, 2020, 5:08:09 PM",October 10K,true
"Sep 27, 2020, 5:08:11 PM",October Half Marathon,true
"Sep 27, 2020, 5:08:13 PM",October 5K,true
"Sep 27, 2020, 11:27:16 PM",October Running Endurance Challenge,false
"Sep 28, 2020, 8:08:49 PM",October Cycling Challenge,false
"Sep 28, 2020, 8:09:06 PM",October Cycling Distance Challenge,false
